id,question,answers
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT__Volume Restriction,"Highlight the parts (if any) of this contract related to ""Volume Restriction"" that should be reviewed by a lawyer. Details: Is there a fee increase or consent requirement, etc. if one party’s use of the product/services exceeds certain threshold?",
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT__Ip Ownership Assignment,"Highlight the parts (if any) of this contract related to ""Ip Ownership Assignment"" that should be reviewed by a lawyer. Details: Does intellectual property created  by one party become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events?",
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT__Joint Ip Ownership,"Highlight the parts (if any) of this contract related to ""Joint Ip Ownership"" that should be reviewed by a lawyer. Details: Is there any clause providing for joint or shared ownership of intellectual property between the parties to the contract?",
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT__License Grant,"Highlight the parts (if any) of this contract related to ""License Grant"" that should be reviewed by a lawyer. Details: Does the contract contain a license granted by one party to its counterparty?",
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT__Non-Transferable License,"Highlight the parts (if any) of this contract related to ""Non-Transferable License"" that should be reviewed by a lawyer. Details: Does the contract limit the ability of a party to transfer the license being granted to a third party?",
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT__Affiliate License-Licensor,"Highlight the parts (if any) of this contract related to ""Affiliate License-Licensor"" that should be reviewed by a lawyer. Details: Does the contract contain a license grant by affiliates of the licensor or that includes intellectual property of affiliates of the licensor? ",
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT__Affiliate License-Licensee,"Highlight the parts (if any) of this contract related to ""Affiliate License-Licensee"" that should be reviewed by a lawyer. Details: Does the contract contain a license grant to a licensee (incl. sublicensor) and the affiliates of such licensee/sublicensor?",
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT__Unlimited/All-You-Can-Eat-License,"Highlight the parts (if any) of this contract related to ""Unlimited/All-You-Can-Eat-License"" that should be reviewed by a lawyer. Details: Is there a clause granting one party an “enterprise,” “all you can eat” or unlimited usage license?",
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT__Irrevocable Or Perpetual License,"Highlight the parts (if any) of this contract related to ""Irrevocable Or Perpetual License"" that should be reviewed by a lawyer. Details: Does the contract contain a  license grant that is irrevocable or perpetual?",
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT__Source Code Escrow,"Highlight the parts (if any) of this contract related to ""Source Code Escrow"" that should be reviewed by a lawyer. Details: Is one party required to deposit its source code into escrow with a third party, which can be released to the counterparty upon the occurrence of certain events (bankruptcy,  insolvency, etc.)?",
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT__Post-Termination Services,"Highlight the parts (if any) of this contract related to ""Post-Termination Services"" that should be reviewed by a lawyer. Details: Is a party subject to obligations after the termination or expiration of a contract, including any post-termination transition, payment, transfer of IP, wind-down, last-buy, or similar commitments?",
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT__Audit Rights,"Highlight the parts (if any) of this contract related to ""Audit Rights"" that should be reviewed by a lawyer. Details: Does a party have the right to  audit the books, records, or physical locations of the counterparty to ensure compliance with the contract?",
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT__Uncapped Liability,"Highlight the parts (if any) of this contract related to ""Uncapped Liability"" that should be reviewed by a lawyer. Details: Is a party’s liability uncapped upon the breach of its obligation in the contract? This also includes uncap liability for a particular type of breach such as IP infringement or breach of confidentiality obligation.",
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT__Cap On Liability,"Highlight the parts (if any) of this contract related to ""Cap On Liability"" that should be reviewed by a lawyer. Details: Does the contract include a cap on liability upon the breach of a party’s obligation? This includes time limitation for the counterparty to bring claims or maximum amount for recovery.","Neither Party shalI be liable to the other Party in connection with this Agreement or the subject matter hereof for any indirect, incidental, special or consequential damages, including but not limited to loss of revenue, cost of capital or loss of profit or business opportunity, whether such liability arises out of contract, tort (including negligence), strict liability or otherwise."
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT__Liquidated Damages,"Highlight the parts (if any) of this contract related to ""Liquidated Damages"" that should be reviewed by a lawyer. Details: Does the contract contain a clause that would award either party liquidated damages for breach or a fee upon the termination of a contract (termination fee)?",
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT__Warranty Duration,"Highlight the parts (if any) of this contract related to ""Warranty Duration"" that should be reviewed by a lawyer. Details: What is the duration of any  warranty against defects or errors in technology, products, or services  provided under the contract?",
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT__Insurance,"Highlight the parts (if any) of this contract related to ""Insurance"" that should be reviewed by a lawyer. Details: Is there a requirement for insurance that must be maintained by one party for the benefit of the counterparty?",
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT__Covenant Not To Sue,"Highlight the parts (if any) of this contract related to ""Covenant Not To Sue"" that should be reviewed by a lawyer. Details: Is a party restricted from contesting the validity of the counterparty’s ownership of intellectual property or otherwise bringing a claim against the counterparty for matters unrelated to the contract?",
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT__Third Party Beneficiary,"Highlight the parts (if any) of this contract related to ""Third Party Beneficiary"" that should be reviewed by a lawyer. Details: Is there a non-contracting party who is a beneficiary to some or all of the clauses in the contract and therefore can enforce its rights against a contracting party?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Document Name,"Highlight the parts (if any) of this contract related to ""Document Name"" that should be reviewed by a lawyer. Details: The name of the contract",NON COMPETITION AGREEMENT AND RIGHT OF FIRST OFFER
WESTERN COPPER - NON-COMPETITION AGREEMENT__Parties,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract","Bach of the parties hereto agree that all of their covenants, agreements and obligations hereunder shall extend to and be binding upon and may be enforced against any and  all of their respective subsidiaries and other Affiliates, as well as against the parties themselves,  as the case may be, and that the names of Glamis and Western Copper will herein be deemed to  refer collectively to Glamis and all of its subsidiaries and other Affiliates and to Western Copper  and all of its subsidiaries and other Affiliates, respectively., WESTERN COPPER CORPORATION, Glam is, GLAMIS GOLD LTD., Western Copper"
WESTERN COPPER - NON-COMPETITION AGREEMENT__Agreement Date,"Highlight the parts (if any) of this contract related to ""Agreement Date"" that should be reviewed by a lawyer. Details: The date of the contract","May 3,2006"
WESTERN COPPER - NON-COMPETITION AGREEMENT__Effective Date,"Highlight the parts (if any) of this contract related to ""Effective Date"" that should be reviewed by a lawyer. Details: The date when the contract is effective ","Effective Date means May 3, 200ri or such later date as determined under the  Arrangement Agreement,"
WESTERN COPPER - NON-COMPETITION AGREEMENT__Expiration Date,"Highlight the parts (if any) of this contract related to ""Expiration Date"" that should be reviewed by a lawyer. Details: On what date will the contract's initial term expire?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Renewal Term,"Highlight the parts (if any) of this contract related to ""Renewal Term"" that should be reviewed by a lawyer. Details: What is the renewal term after the initial term expires? This includes automatic extensions and unilateral extensions with prior notice.",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Notice Period To Terminate Renewal,"Highlight the parts (if any) of this contract related to ""Notice Period To Terminate Renewal"" that should be reviewed by a lawyer. Details: What is the notice period required to terminate renewal?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Governing Law,"Highlight the parts (if any) of this contract related to ""Governing Law"" that should be reviewed by a lawyer. Details: Which state/country's law governs the interpretation of the contract?","4.8 This Agreement will be governed exclusively by and construed in accordance  with the laws of the Province of British Columbia, and the parties attorn to the exclusive  jurisdiction of the Courts of British Columbia."
WESTERN COPPER - NON-COMPETITION AGREEMENT__Most Favored Nation,"Highlight the parts (if any) of this contract related to ""Most Favored Nation"" that should be reviewed by a lawyer. Details: Is there a clause that if a third party gets better terms on the licensing or sale of technology/goods/services described in the contract, the buyer of such technology/goods/services under the contract shall be entitled to those better terms?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Non-Compete,"Highlight the parts (if any) of this contract related to ""Non-Compete"" that should be reviewed by a lawyer. Details: Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector? ","(b) advise, lend money to, guarantee the debts or obligations of or permit its name to  be used by any Person who carries on or is engaged in Mining Activities,

in the Area of Non-Competition., Western Copper covenants and agrees with Glamis that, for a period of 2 years after the Effective Date, it will not, directly or indirectly, either individually or in partnership or  jointly or in conjunction with any Person, which will include being a principal, agent,  shareholder, or advisor of such Person or in any other manner whatsoever,

(a) carry on or be engaged in Mining Activities, or"
WESTERN COPPER - NON-COMPETITION AGREEMENT__Exclusivity,"Highlight the parts (if any) of this contract related to ""Exclusivity"" that should be reviewed by a lawyer. Details: Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).",
WESTERN COPPER - NON-COMPETITION AGREEMENT__No-Solicit Of Customers,"Highlight the parts (if any) of this contract related to ""No-Solicit Of Customers"" that should be reviewed by a lawyer. Details: Is a party restricted from contracting or soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both)?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Competitive Restriction Exception,"Highlight the parts (if any) of this contract related to ""Competitive Restriction Exception"" that should be reviewed by a lawyer. Details: This category includes the exceptions or carveouts to Non-Compete, Exclusivity and No-Solicit of Customers above.",
WESTERN COPPER - NON-COMPETITION AGREEMENT__No-Solicit Of Employees,"Highlight the parts (if any) of this contract related to ""No-Solicit Of Employees"" that should be reviewed by a lawyer. Details: Is there a restriction on a party’s soliciting or hiring employees and/or contractors from the  counterparty, whether during the contract or after the contract ends (or both)?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Non-Disparagement,"Highlight the parts (if any) of this contract related to ""Non-Disparagement"" that should be reviewed by a lawyer. Details: Is there a requirement on a party not to disparage the counterparty?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Termination For Convenience,"Highlight the parts (if any) of this contract related to ""Termination For Convenience"" that should be reviewed by a lawyer. Details: Can a party terminate this  contract without cause (solely by giving a notice and allowing a waiting  period to expire)?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Rofr/Rofo/Rofn,"Highlight the parts (if any) of this contract related to ""Rofr/Rofo/Rofn"" that should be reviewed by a lawyer. Details: Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?","If Glamis and Western Copper  are unable to negotiate an acceptable agreement with respect to the Designated Mineral Property  within the 30 day period, Glamis may thereafter dispose of the Designated Mineral Property as it  sees til in its absolute discretion., In  the ease of a Designated Mineral Property that Glamis intends to dispose of for cash  consideration, the parties will negotiate in good faith to reach a mutually agreeable agreement for  the sale to Western Copper of the [Designated Mineral Property., For a period of  30 days from the time of delivery of the Disposition Notice Glamis will, if requested by Western  Silver, entertain an offer from Western Copper to acquire the Designated Mineral Property., Glamis covenants and agrees with Western Copper that if at any time it intends to dispose of a Designated Mineral Property for cash consideration or by abandonment, it will give  Western Copper notice (the ' Disposition Notice"") of the intended disposition., If Glamis does not dispose of the Designated Mineral Property  within a period of 3 months from the first to occur of the date that Glamis and Western Copper  acknowledge failure to negotiate an acceptable agreement with respect to the Designated Mineral  Property and the end of the 30 day period, the provisions of this section 2.2 will once again apply  to any intended disposition of the Designated Mineral Property by Glamis., In the case of a  Designated Mineral Property that Glamis intends to abandon, Glamis wall, if requested by  Western Copper, transfer such Designated Mineral Property to Western Copper at no cost save  and except for the reasonable costs of transfer incurred by Glamis."
WESTERN COPPER - NON-COMPETITION AGREEMENT__Change Of Control,"Highlight the parts (if any) of this contract related to ""Change Of Control"" that should be reviewed by a lawyer. Details: Does one party have the right to terminate or is consent or notice required of the counterparty if such party undergoes a change of control, such as a merger, stock sale, transfer of all or substantially all of its assets or business, or assignment by operation of law?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Anti-Assignment,"Highlight the parts (if any) of this contract related to ""Anti-Assignment"" that should be reviewed by a lawyer. Details: Is consent or notice required of a party if the contract is assigned to a third party?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Revenue/Profit Sharing,"Highlight the parts (if any) of this contract related to ""Revenue/Profit Sharing"" that should be reviewed by a lawyer. Details: Is one party required to share revenue or profit with the counterparty for any technology, goods, or services?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Price Restrictions,"Highlight the parts (if any) of this contract related to ""Price Restrictions"" that should be reviewed by a lawyer. Details: Is there a restriction on the  ability of a party to raise or reduce prices of technology, goods, or  services provided?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Minimum Commitment,"Highlight the parts (if any) of this contract related to ""Minimum Commitment"" that should be reviewed by a lawyer. Details: Is there a minimum order size or minimum amount or units per-time period that one party must buy from the counterparty under the contract?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Volume Restriction,"Highlight the parts (if any) of this contract related to ""Volume Restriction"" that should be reviewed by a lawyer. Details: Is there a fee increase or consent requirement, etc. if one party’s use of the product/services exceeds certain threshold?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Ip Ownership Assignment,"Highlight the parts (if any) of this contract related to ""Ip Ownership Assignment"" that should be reviewed by a lawyer. Details: Does intellectual property created  by one party become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Joint Ip Ownership,"Highlight the parts (if any) of this contract related to ""Joint Ip Ownership"" that should be reviewed by a lawyer. Details: Is there any clause providing for joint or shared ownership of intellectual property between the parties to the contract?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__License Grant,"Highlight the parts (if any) of this contract related to ""License Grant"" that should be reviewed by a lawyer. Details: Does the contract contain a license granted by one party to its counterparty?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Non-Transferable License,"Highlight the parts (if any) of this contract related to ""Non-Transferable License"" that should be reviewed by a lawyer. Details: Does the contract limit the ability of a party to transfer the license being granted to a third party?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Affiliate License-Licensor,"Highlight the parts (if any) of this contract related to ""Affiliate License-Licensor"" that should be reviewed by a lawyer. Details: Does the contract contain a license grant by affiliates of the licensor or that includes intellectual property of affiliates of the licensor? ",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Affiliate License-Licensee,"Highlight the parts (if any) of this contract related to ""Affiliate License-Licensee"" that should be reviewed by a lawyer. Details: Does the contract contain a license grant to a licensee (incl. sublicensor) and the affiliates of such licensee/sublicensor?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Unlimited/All-You-Can-Eat-License,"Highlight the parts (if any) of this contract related to ""Unlimited/All-You-Can-Eat-License"" that should be reviewed by a lawyer. Details: Is there a clause granting one party an “enterprise,” “all you can eat” or unlimited usage license?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Irrevocable Or Perpetual License,"Highlight the parts (if any) of this contract related to ""Irrevocable Or Perpetual License"" that should be reviewed by a lawyer. Details: Does the contract contain a  license grant that is irrevocable or perpetual?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Source Code Escrow,"Highlight the parts (if any) of this contract related to ""Source Code Escrow"" that should be reviewed by a lawyer. Details: Is one party required to deposit its source code into escrow with a third party, which can be released to the counterparty upon the occurrence of certain events (bankruptcy,  insolvency, etc.)?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Post-Termination Services,"Highlight the parts (if any) of this contract related to ""Post-Termination Services"" that should be reviewed by a lawyer. Details: Is a party subject to obligations after the termination or expiration of a contract, including any post-termination transition, payment, transfer of IP, wind-down, last-buy, or similar commitments?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Audit Rights,"Highlight the parts (if any) of this contract related to ""Audit Rights"" that should be reviewed by a lawyer. Details: Does a party have the right to  audit the books, records, or physical locations of the counterparty to ensure compliance with the contract?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Uncapped Liability,"Highlight the parts (if any) of this contract related to ""Uncapped Liability"" that should be reviewed by a lawyer. Details: Is a party’s liability uncapped upon the breach of its obligation in the contract? This also includes uncap liability for a particular type of breach such as IP infringement or breach of confidentiality obligation.",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Cap On Liability,"Highlight the parts (if any) of this contract related to ""Cap On Liability"" that should be reviewed by a lawyer. Details: Does the contract include a cap on liability upon the breach of a party’s obligation? This includes time limitation for the counterparty to bring claims or maximum amount for recovery.",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Liquidated Damages,"Highlight the parts (if any) of this contract related to ""Liquidated Damages"" that should be reviewed by a lawyer. Details: Does the contract contain a clause that would award either party liquidated damages for breach or a fee upon the termination of a contract (termination fee)?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Warranty Duration,"Highlight the parts (if any) of this contract related to ""Warranty Duration"" that should be reviewed by a lawyer. Details: What is the duration of any  warranty against defects or errors in technology, products, or services  provided under the contract?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Insurance,"Highlight the parts (if any) of this contract related to ""Insurance"" that should be reviewed by a lawyer. Details: Is there a requirement for insurance that must be maintained by one party for the benefit of the counterparty?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Covenant Not To Sue,"Highlight the parts (if any) of this contract related to ""Covenant Not To Sue"" that should be reviewed by a lawyer. Details: Is a party restricted from contesting the validity of the counterparty’s ownership of intellectual property or otherwise bringing a claim against the counterparty for matters unrelated to the contract?",
WESTERN COPPER - NON-COMPETITION AGREEMENT__Third Party Beneficiary,"Highlight the parts (if any) of this contract related to ""Third Party Beneficiary"" that should be reviewed by a lawyer. Details: Is there a non-contracting party who is a beneficiary to some or all of the clauses in the contract and therefore can enforce its rights against a contracting party?",
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Document Name","Highlight the parts (if any) of this contract related to ""Document Name"" that should be reviewed by a lawyer. Details: The name of the contract","Sales, Marketing, Distribution, and Supply Agreement"
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Parties","Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract","Scientific Products Pharmaceutical Co. LTD., Hemispherx Biopharma, Inc., SCIENTIFIC PRODUCTS PHARMACEUTICAL CO. LTD, SCIEN, HEMISPHERX BIOPHARMA, INC, HEMISPHERX"
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Agreement Date","Highlight the parts (if any) of this contract related to ""Agreement Date"" that should be reviewed by a lawyer. Details: The date of the contract",3-31-16
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Effective Date","Highlight the parts (if any) of this contract related to ""Effective Date"" that should be reviewed by a lawyer. Details: The date when the contract is effective ","This Agreement between HEMISPHERX and SCIEN shall be in effect beginning the last date of execution set forth on the signature page to the Agreement (the ""Effective Date"") to which this Quality Agreement is Exhibit 2 and remain in effect until HEMISPHERX and SCIEN terminate the Agreement or it is superseded by a revised Quality Agreement executed by both parties., This Agreement shall become effective when it shall have been executed by all parties and upon receipt of all counterparts hereof that, when taken together, bear the signatures of each of the other parties hereto."
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Expiration Date","Highlight the parts (if any) of this contract related to ""Expiration Date"" that should be reviewed by a lawyer. Details: On what date will the contract's initial term expire?","This Agreement between HEMISPHERX and SCIEN shall be in effect beginning the last date of execution set forth on the signature page to the Agreement (the ""Effective Date"") to which this Quality Agreement is Exhibit 2 and remain in effect until HEMISPHERX and SCIEN terminate the Agreement or it is superseded by a revised Quality Agreement executed by both parties., The Term will be 3 years from Effective Date with an automatic 2 year term extensions unless otherwise advised by one of the Parties."
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Renewal Term","Highlight the parts (if any) of this contract related to ""Renewal Term"" that should be reviewed by a lawyer. Details: What is the renewal term after the initial term expires? This includes automatic extensions and unilateral extensions with prior notice.",The Term will be 3 years from Effective Date with an automatic 2 year term extensions unless otherwise advised by one of the Parties.
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Notice Period To Terminate Renewal","Highlight the parts (if any) of this contract related to ""Notice Period To Terminate Renewal"" that should be reviewed by a lawyer. Details: What is the notice period required to terminate renewal?",The Term will be 3 years from Effective Date with an automatic 2 year term extensions unless otherwise advised by one of the Parties.
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Governing Law","Highlight the parts (if any) of this contract related to ""Governing Law"" that should be reviewed by a lawyer. Details: Which state/country's law governs the interpretation of the contract?","This Agreement and the transactions contemplated herein shall be governed by, and construed in accordance with, the laws of the State of Delaware, USA and disputes, if not resolved by the Parties, will be settled by binding arbitration in and under the rules of arbitration in London, England."
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Most Favored Nation","Highlight the parts (if any) of this contract related to ""Most Favored Nation"" that should be reviewed by a lawyer. Details: Is there a clause that if a third party gets better terms on the licensing or sale of technology/goods/services described in the contract, the buyer of such technology/goods/services under the contract shall be entitled to those better terms?",
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Non-Compete","Highlight the parts (if any) of this contract related to ""Non-Compete"" that should be reviewed by a lawyer. Details: Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector? ",
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Exclusivity","Highlight the parts (if any) of this contract related to ""Exclusivity"" that should be reviewed by a lawyer. Details: Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).","Subject to the terms and conditions of this Agreement, HEMISPHERX agrees to exclusively supply Product to SCIEN in the Territory with a minimum expiry of 6 months from the date of shipment., Subject to the condition above, HEMISPHERX hereby grants SCIEN the exclusive license to sell, market, and distribute Product for use in the Field in the Territory for Direct Access/EAP and Regulatory Agency-Approved (RAA) purposes., HEMISPHERX hereby grants to SCIEN and SCIEN hereby accepts the right, privilege and exclusive license to use of ""Interferon alfa-n3 (human leukocyte derived)"" solely in connection with the terms of the Sales, Marketing, Distribution and Supply Agreement of Product in the Territory for the Term of this Agreement. S"
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__No-Solicit Of Customers","Highlight the parts (if any) of this contract related to ""No-Solicit Of Customers"" that should be reviewed by a lawyer. Details: Is a party restricted from contracting or soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both)?",
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Competitive Restriction Exception","Highlight the parts (if any) of this contract related to ""Competitive Restriction Exception"" that should be reviewed by a lawyer. Details: This category includes the exceptions or carveouts to Non-Compete, Exclusivity and No-Solicit of Customers above.",
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__No-Solicit Of Employees","Highlight the parts (if any) of this contract related to ""No-Solicit Of Employees"" that should be reviewed by a lawyer. Details: Is there a restriction on a party’s soliciting or hiring employees and/or contractors from the  counterparty, whether during the contract or after the contract ends (or both)?",
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Non-Disparagement","Highlight the parts (if any) of this contract related to ""Non-Disparagement"" that should be reviewed by a lawyer. Details: Is there a requirement on a party not to disparage the counterparty?",
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Termination For Convenience","Highlight the parts (if any) of this contract related to ""Termination For Convenience"" that should be reviewed by a lawyer. Details: Can a party terminate this  contract without cause (solely by giving a notice and allowing a waiting  period to expire)?",
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Rofr/Rofo/Rofn","Highlight the parts (if any) of this contract related to ""Rofr/Rofo/Rofn"" that should be reviewed by a lawyer. Details: Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?",
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Change Of Control","Highlight the parts (if any) of this contract related to ""Change Of Control"" that should be reviewed by a lawyer. Details: Does one party have the right to terminate or is consent or notice required of the counterparty if such party undergoes a change of control, such as a merger, stock sale, transfer of all or substantially all of its assets or business, or assignment by operation of law?",
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Anti-Assignment","Highlight the parts (if any) of this contract related to ""Anti-Assignment"" that should be reviewed by a lawyer. Details: Is consent or notice required of a party if the contract is assigned to a third party?","Any assignment in violation hereof is void., Neither this Agreement nor any rights or obligations or licenses hereunder may be assigned, pledged, transferred or encumbered by either party without the express prior written approval of the other party, except that either HEMISPHERX or SCIEN may assign this Agreement to any successor by merger or sale of substantially all of its business or assets to which this Agreement pertains, without any such consent."
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Revenue/Profit Sharing","Highlight the parts (if any) of this contract related to ""Revenue/Profit Sharing"" that should be reviewed by a lawyer. Details: Is one party required to share revenue or profit with the counterparty for any technology, goods, or services?",
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Price Restrictions","Highlight the parts (if any) of this contract related to ""Price Restrictions"" that should be reviewed by a lawyer. Details: Is there a restriction on the  ability of a party to raise or reduce prices of technology, goods, or  services provided?",
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Minimum Commitment","Highlight the parts (if any) of this contract related to ""Minimum Commitment"" that should be reviewed by a lawyer. Details: Is there a minimum order size or minimum amount or units per-time period that one party must buy from the counterparty under the contract?",SCIEN will have six 6) months after the date of this Agreement to Purchase at least 50 vials to be used by the MOH in treating patients with MERS.
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Volume Restriction","Highlight the parts (if any) of this contract related to ""Volume Restriction"" that should be reviewed by a lawyer. Details: Is there a fee increase or consent requirement, etc. if one party’s use of the product/services exceeds certain threshold?",
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Ip Ownership Assignment","Highlight the parts (if any) of this contract related to ""Ip Ownership Assignment"" that should be reviewed by a lawyer. Details: Does intellectual property created  by one party become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events?",
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Joint Ip Ownership","Highlight the parts (if any) of this contract related to ""Joint Ip Ownership"" that should be reviewed by a lawyer. Details: Is there any clause providing for joint or shared ownership of intellectual property between the parties to the contract?",
